Username,Subscribe Date,Current Tier,Tenure,Streak,Sub Type,Founder
dlugacz,2020-11-24T22:23:15Z,Tier 1,2,2,prime,false
producedbyinfo,2020-11-24T22:49:43Z,Tier 1,1,1,gift,false
shygwai,2020-10-28T01:20:32Z,Tier 1,1,1,recurring,false
jontheproducer,2020-11-13T20:48:11Z,Tier 1,1,1,gift,false
duguy_ow,2020-11-22T10:37:10Z,Tier 2,1,1,recurring,false
woahisjoe,2020-11-04T23:43:47Z,Tier 1,1,1,gift,false
alexlayne22,2020-11-07T01:44:39Z,Tier 1,1,1,recurring,false
elyziiian,2020-10-31T03:53:38Z,Tier 1,1,1,gift,false
adrianlafera,2020-10-30T16:07:13Z,Tier 1,1,1,prime,false
marieelisabeth_,2020-10-31T03:46:37Z,Tier 1,1,1,gift,false
cheskob,2020-11-13T05:38:04Z,Tier 1,2,2,subtoken,false
thelayloe,2020-11-04T23:50:31Z,Tier 1,1,1,gift,false
its_chiefyboy,2020-11-04T23:39:24Z,Tier 1,1,1,gift,false
bennychichi,2020-11-04T23:47:20Z,Tier 1,1,1,gift,false
piratekingbk,2020-11-04T23:50:31Z,Tier 1,1,1,gift,false
fishingenthusiast,2020-11-04T23:51:00Z,Tier 1,1,1,gift,false
rcblogman,2020-11-05T00:17:22Z,Tier 1,1,1,gift,false
frankjlp,2020-11-04T23:50:31Z,Tier 1,1,1,gift,false
sortega1,2020-11-06T23:41:02Z,Tier 1,1,1,gift,false
avayamusic,2020-11-24T22:44:07Z,Tier 1,1,1,gift,false
deobeats,2020-11-13T20:39:45Z,Tier 1,1,1,gift,false
mariodamx,2020-11-14T16:26:10Z,Tier 1,1,1,prime,false
andershvenare,2020-11-12T23:16:19Z,Tier 1,1,1,recurring,false
jasonxollyy,2020-11-04T23:50:31Z,Tier 1,1,1,gift,false
aaallleeexxxaaannnnnn,2020-10-29T22:17:57Z,Tier 1,1,1,subtoken,false
driftwave_music,2020-10-31T03:10:15Z,Tier 1,1,1,prime,false
itbemejonnyg,2020-11-04T23:43:47Z,Tier 1,1,1,gift,false
dypais,2020-10-29T14:40:00Z,Tier 1,1,1,recurring,false
mikhaelpaskalev,2020-11-07T00:46:42Z,Tier 1,1,1,gift,false
jasonelliott17,2020-11-13T22:15:28Z,Tier 1,1,1,gift,false
sinefactory,2020-11-24T02:58:37Z,Tier 1,2,2,recurring,false
arjunraomusic,2020-11-23T14:50:43Z,Tier 1,1,1,subtoken,false
heyzeusmusic_,2020-11-04T23:51:00Z,Tier 1,1,1,gift,false
djgunjan,2020-11-11T18:12:02Z,Tier 1,1,1,recurring,false
haydenfrancisx,2020-11-04T23:50:31Z,Tier 1,1,1,gift,false
edstokesmusic,2020-11-12T22:50:51Z,Tier 3,1,1,recurring,false
melkov32,2020-11-01T08:46:53Z,Tier 1,1,1,prime,false
scratchcardphil,2020-11-04T23:43:47Z,Tier 1,1,1,gift,false
yochanders,2020-11-13T21:00:55Z,Tier 1,1,1,gift,false
teddrickpalmer,2020-10-31T03:53:38Z,Tier 1,1,1,gift,false
btolls,2020-11-24T22:43:27Z,Tier 1,2,2,recurring,false
and_or_records,2020-10-16T04:55:33Z,Tier 1,2,2,recurring,false
pemda_s,2020-10-31T03:53:38Z,Tier 1,1,1,gift,false
djeote,2020-10-08T22:25:10Z,Tier 1,2,2,recurring,false
itsdjgarrett,2020-10-12T05:16:27Z,Tier 1,2,2,recurring,false
diegoarangomusic,2020-11-03T00:26:35Z,Tier 1,1,1,recurring,false
music_miked,2020-11-13T06:12:16Z,Tier 3,2,2,recurring,false
sshvne,2020-10-31T03:46:37Z,Tier 1,1,1,gift,false
vvatervvitch,2020-11-05T01:22:41Z,Tier 1,1,1,gift,false
alexsmarkus,2020-11-14T04:18:18Z,Tier 3,1,1,recurring,false
itsjanatic_,2020-11-11T23:43:11Z,Tier 1,1,1,prime,false
fabrizio_fargo,2020-11-04T23:37:21Z,Tier 1,1,1,gift,false
deathbyguillotine,2020-11-04T23:47:20Z,Tier 1,1,1,gift,false
dlw01,2020-11-05T01:22:41Z,Tier 1,1,1,gift,false
tim_mcclain,2020-10-31T03:15:57Z,Tier 3,1,1,recurring,false
soundvize,2020-11-24T18:35:34Z,Tier 1,2,2,recurring,false
treykhan17,2020-11-05T00:17:22Z,Tier 1,1,1,gift,false
curtis_flow,2020-11-06T23:41:02Z,Tier 1,1,1,gift,false
